PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4521,5297,Bevan,Docherty,NZL,1,00:18:36,00:00:48,01:00:18,00:00:24,00:30:20,1,01:50:25,Elite Men
4521,5711,Brad,Kahlefeldt,AUS,6,00:18:28,00:00:53,01:00:18,00:00:22,00:30:24,2,01:50:25,Elite Men
4521,7747,Dmitry,Polyanskiy,RUS,9,00:18:13,00:00:53,00:59:58,00:00:24,00:31:01,3,01:50:29,Elite Men
4521,5296,Kris,Gemmell,NZL,7,00:18:26,00:00:46,01:00:23,00:00:22,00:30:41,4,01:50:39,Elite Men
4521,5747,Steffen,Justus,GER,10,00:18:42,00:00:51,01:00:05,00:00:26,00:30:37,5,01:50:42,Elite Men
4521,6442,Jarrod,Shoemaker,USA,16,00:18:11,00:00:56,01:00:39,00:00:24,00:30:36,6,01:50:45,Elite Men
4521,7743,Alexander,Bryukhankov,RUS,17,00:18:09,00:00:51,01:00:04,00:00:26,00:31:17,7,01:50:46,Elite Men
4521,5662,Laurent,Vidal,FRA,3,00:18:18,00:00:49,01:00:28,00:00:22,00:30:48,8,01:50:46,Elite Men
4521,5305,Tim,Don,GBR,2,00:18:21,00:00:53,01:00:28,00:00:26,00:30:53,9,01:50:59,Elite Men
4521,5591,Courtney,Atkinson,AUS,38,00:18:09,00:01:01,01:00:29,00:00:22,00:31:04,10,01:51:06,Elite Men
4521,5755,Yulian,Malyshev,RUS,27,00:18:15,00:00:51,01:00:36,00:00:24,00:31:02,11,01:51:10,Elite Men
4521,7787,Oliver,Freeman,GBR,4,00:18:14,00:00:56,01:00:31,00:00:26,00:31:04,12,01:51:13,Elite Men
4521,6084,Dan,Wilson,AUS,39,00:18:37,00:00:49,01:00:13,00:00:22,00:31:16,13,01:51:17,Elite Men
4521,5302,Simon,Whitfield,CAN,5,00:18:17,00:00:51,01:00:33,00:00:22,00:31:13,14,01:51:17,Elite Men
4521,5679,Cedric,Fleureton,FRA,14,00:18:35,00:00:53,01:00:16,00:00:24,00:31:17,15,01:51:23,Elite Men
4521,5823,Bruno,Pais,POR,26,00:18:21,00:00:49,01:00:29,00:00:24,00:31:34,16,01:51:38,Elite Men
4521,5335,Peter,Robertson,AUS,19,00:18:41,00:00:51,01:00:07,00:00:24,00:31:39,17,01:51:44,Elite Men
4521,5331,Danylo,Sapunov,UKR,29,00:18:18,00:01:01,01:00:22,00:00:26,00:31:38,18,01:51:46,Elite Men
4521,6202,Kyle,Jones,CAN,11,00:18:43,00:00:51,01:00:07,00:00:22,00:31:45,19,01:51:49,Elite Men
4521,5824,Christian,Prochnow,GER,15,00:18:27,00:00:54,01:00:22,00:00:24,00:31:43,20,01:51:52,Elite Men
4521,5340,Filip,Ospaly,CZE,20,00:18:23,00:01:01,01:00:19,00:00:27,00:31:43,21,01:51:52,Elite Men
